"epidemiological_week","date_d","order_for_place","state","city","city_ibge_code","place_type","last_available_confirmed","last_conf_100k_inhabitants","new_confirmed","last_available_deaths","new_deaths","last_available_death_rate","population_2019","is_last","is_repeated"
38,"2020-09-14",147,"BA","Água Fria",2900405,"city",64,377.136,0,1,0,0.0156,16970,"True","False"
38,"2020-09-14",152,"BA","Aiquara",2900603,"city",155,3486.28,0,3,0,0.0194,4446,"True","False"
38,"2020-09-14",173,"BA","Alagoinhas",2900702,"city",5098,3362.89,8,61,0,0.012,151596,"True","False"
38,"2020-09-14",108,"BA","Alcobaça",2900801,"city",463,2060.53,1,5,0,0.0108,22470,"True","False"
38,"2020-09-14",145,"BA","Almadina",2900900,"city",329,6021.23,3,6,0,0.0182,5464,"True","False"
38,"2020-09-14",128,"BA","Amargosa",2901007,"city",341,915.657,2,9,0,0.0264,37241,"True","False"
38,"2020-09-14",152,"BA","Amélia Rodrigues",2901106,"city",365,1454.07,4,4,0,0.011,25102,"True","False"
38,"2020-09-14",119,"BA","América Dourada",2901155,"city",95,590.282,0,0,0,0.0,16094,"True","False"
38,"2020-09-14",124,"BA","Anagé",2901205,"city",92,418.087,0,3,0,0.0326,22005,"True","False"
38,"2020-09-14",105,"BA","Andaraí",2901304,"city",36,273.91,0,0,0,0.0,13143,"True","False"
38,"2020-09-14",94,"BA","Andorinha",2901353,"city",64,438.506,0,2,0,0.0312,14595,"True","False"
38,"2020-09-14",98,"BA","Angical",2901403,"city",126,901.481,0,2,0,0.0159,13977,"True","False"
38,"2020-09-14",128,"BA","Anguera",2901502,"city",60,534.712,0,0,0,0.0,11221,"True","False"
38,"2020-09-14",107,"BA","Antas",2901601,"city",224,1161.16,2,0,0,0.0,19291,"True","False"
38,"2020-09-14",113,"BA","Antônio Cardoso",2901700,"city",46,393.734,0,0,0,0.0,11683,"True","False"
38,"2020-09-14",94,"BA","Antônio Gonçalves",2901809,"city",161,1364.64,0,1,0,0.0062,11798,"True","False"
38,"2020-09-14",117,"BA","Aporá",2901908,"city",183,1032.09,0,4,0,0.0219,17731,"True","False"
38,"2020-09-14",117,"BA","Apuarema",2901957,"city",285,3888.13,0,5,0,0.0175,7330,"True","False"
38,"2020-09-14",124,"BA","Araças",2902054,"city",149,1223.62,0,1,0,0.0067,12177,"True","False"
38,"2020-09-14",140,"BA","Aracatu",2902005,"city",31,236.011,0,0,0,0.0,13135,"True","False"
38,"2020-09-14",160,"BA","Araci",2902104,"city",1065,1958.48,1,11,0,0.0103,54379,"True","False"
38,"2020-09-14",105,"BA","Aramari",2902203,"city",117,1026.59,0,0,0,0.0,11397,"True","False"
38,"2020-09-14",139,"BA","Arataca",2902252,"city",183,1660.77,3,3,0,0.0164,11019,"True","False"
38,"2020-09-14",110,"BA","Aratuípe",2902302,"city",111,1257.79,0,5,0,0.045,8825,"True","False"
38,"2020-09-14",160,"BA","Aurelino Leal",2902401,"city",393,3408.2,0,6,0,0.0153,11531,"True","False"
38,"2020-09-14",112,"BA","Baianópolis",2902500,"city",74,533.256,1,0,0,0.0,13877,"True","False"
38,"2020-09-14",88,"BA","Baixa Grande",2902609,"city",33,161.227,0,2,0,0.0606,20468,"True","False"
38,"2020-09-14",123,"BA","Banzaê",2902658,"city",221,1670.57,4,0,0,0.0,13229,"True","False"
38,"2020-09-14",168,"BA","Barra",2902708,"city",185,345.291,0,4,0,0.0216,53578,"True","False"
38,"2020-09-14",100,"BA","Barra da Estiva",2902807,"city",9,43.6936,0,0,0,0.0,20598,"True","False"
38,"2020-09-14",162,"BA","Barra do Choça",2902906,"city",393,1243.55,5,5,0,0.0127,31603,"True","False"
38,"2020-09-14",116,"BA","Barra do Mendes",2903003,"city",18,129.823,0,0,0,0.0,13865,"True","False"
38,"2020-09-14",167,"BA","Barra do Rocha",2903102,"city",91,1592.58,0,0,0,0.0,5714,"True","False"
38,"2020-09-14",177,"BA","Barreiras",2903201,"city",4208,2707.17,7,69,1,0.0164,155439,"True","False"
38,"2020-09-14",74,"BA","Barro Alto",2903235,"city",48,321.479,0,1,0,0.0208,14931,"True","False"
38,"2020-09-14",128,"BA","Barrocas",2903276,"city",124,776.067,0,0,0,0.0,15978,"True","False"
38,"2020-09-14",149,"BA","Barro Preto",2903300,"city",230,4113.75,0,4,0,0.0174,5591,"True","False"
38,"2020-09-14",166,"BA","Belmonte",2903409,"city",446,1911.87,0,3,0,0.0067,23328,"True","False"
38,"2020-09-14",93,"BA","Belo Campo",2903508,"city",45,261.461,1,1,0,0.0222,17211,"True","False"
38,"2020-09-14",114,"BA","Biritinga",2903607,"city",74,463.108,0,0,0,0.0,15979,"True","False"
38,"2020-09-14",102,"BA","Boa Nova",2903706,"city",111,878.651,2,3,0,0.027,12633,"True","False"
38,"2020-09-14",131,"BA","Boa Vista do Tupim",2903805,"city",98,527.562,0,1,0,0.0102,18576,"True","False"
38,"2020-09-14",154,"BA","Bom Jesus da Lapa",2903904,"city",329,475.791,2,2,0,0.0061,69148,"True","False"
38,"2020-09-14",113,"BA","Bom Jesus da Serra",2903953,"city",98,991.903,0,0,0,0.0,9880,"True","False"
38,"2020-09-14",102,"BA","Boninal",2904001,"city",9,62.6392,0,1,0,0.1111,14368,"True","False"
38,"2020-09-14",103,"BA","Bonito",2904050,"city",44,262.467,0,2,0,0.0455,16764,"True","False"
38,"2020-09-14",125,"BA","Boquira",2904100,"city",35,162.73,0,0,0,0.0,21508,"True","False"
38,"2020-09-14",98,"BA","Botuporã",2904209,"city",5,48.9668,0,1,0,0.2,10211,"True","False"
38,"2020-09-14",97,"BA","Brejões",2904308,"city",53,370.759,0,1,0,0.0189,14295,"True","False"
38,"2020-09-14",42,"BA","Brejolândia",2904407,"city",5,47.3619,0,1,0,0.2,10557,"True","False"
38,"2020-09-14",102,"BA","Brotas de Macaúbas",2904506,"city",2,19.5484,1,0,0,0.0,10231,"True","False"
38,"2020-09-14",176,"BA","Brumado",2904605,"city",1098,1634.05,20,15,1,0.0137,67195,"True","False"
38,"2020-09-14",152,"BA","Buerarema",2904704,"city",470,2561.45,2,15,0,0.0319,18349,"True","False"
38,"2020-09-14",109,"BA","Buritirama",2904753,"city",219,1034.29,0,5,0,0.0228,21174,"True","False"
38,"2020-09-14",95,"BA","Caatiba",2904803,"city",245,3625.33,4,0,0,0.0,6758,"True","False"
38,"2020-09-14",123,"BA","Cabaceiras do Paraguaçu",2904852,"city",64,340.299,0,1,0,0.0156,18807,"True","False"
38,"2020-09-14",164,"BA","Cachoeira",2904902,"city",426,1272.78,0,9,0,0.0211,33470,"True","False"
38,"2020-09-14",109,"BA","Caculé",2905008,"city",77,332.326,0,2,0,0.026,23170,"True","False"
38,"2020-09-14",120,"BA","Caém",2905107,"city",108,1172.26,0,0,0,0.0,9213,"True","False"
38,"2020-09-14",142,"BA","Caetanos",2905156,"city",59,405.721,0,0,0,0.0,14542,"True","False"
38,"2020-09-14",119,"BA","Caetité",2905206,"city",152,298.185,0,4,0,0.0263,50975,"True","False"
38,"2020-09-14",80,"BA","Cafarnaum",2905305,"city",184,997.993,1,2,0,0.0109,18437,"True","False"
38,"2020-09-14",126,"BA","Cairu",2905404,"city",204,1122.36,10,5,2,0.0245,18176,"True","False"
38,"2020-09-14",143,"BA","Caldeirão Grande",2905503,"city",122,915.435,0,1,0,0.0082,13327,"True","False"
38,"2020-09-14",158,"BA","Camacan",2905602,"city",1349,4217.21,9,26,0,0.0193,31988,"True","False"
38,"2020-09-14",179,"BA","Camaçari",2905701,"city",5841,1952.65,4,103,1,0.0176,299132,"True","False"
38,"2020-09-14",142,"BA","Camamu",2905800,"city",800,2265.26,1,14,0,0.0175,35316,"True","False"
38,"2020-09-14",145,"BA","Campo Alegre de Lourdes",2905909,"city",111,385.443,0,2,0,0.018,28798,"True","False"
38,"2020-09-14",162,"BA","Campo Formoso",2906006,"city",988,1387.52,3,11,0,0.0111,71206,"True","False"
38,"2020-09-14",21,"BA","Canápolis",2906105,"city",29,298.63,0,0,0,0.0,9711,"True","False"
38,"2020-09-14",174,"BA","Canarana",2906204,"city",100,382.029,2,1,0,0.01,26176,"True","False"
38,"2020-09-14",155,"BA","Canavieiras",2906303,"city",199,639.892,1,11,0,0.0553,31099,"True","False"
38,"2020-09-14",105,"BA","Candeal",2906402,"city",81,980.867,0,0,0,0.0,8258,"True","False"
38,"2020-09-14",168,"BA","Candeias",2906501,"city",2143,2461.07,0,53,0,0.0247,87076,"True","False"
38,"2020-09-14",108,"BA","Candiba",2906600,"city",28,195.544,1,0,0,0.0,14319,"True","False"
38,"2020-09-14",115,"BA","Cândido Sales",2906709,"city",508,2016.75,2,8,0,0.0157,25189,"True","False"
38,"2020-09-14",158,"BA","Cansanção",2906808,"city",157,450.709,0,3,0,0.0191,34834,"True","False"
38,"2020-09-14",109,"BA","Canudos",2906824,"city",122,731.941,0,4,0,0.0328,16668,"True","False"
38,"2020-09-14",128,"BA","Capela do Alto Alegre",2906857,"city",165,1417.89,0,1,0,0.0061,11637,"True","False"
38,"2020-09-14",157,"BA","Capim Grosso",2906873,"city",973,3173.31,6,9,0,0.0092,30662,"True","False"
38,"2020-09-14",112,"BA","Caraíbas",2906899,"city",20,223.439,0,0,0,0.0,8951,"True","False"
38,"2020-09-14",104,"BA","Caravelas",2906907,"city",309,1403.52,2,4,0,0.0129,22016,"True","False"
38,"2020-09-14",120,"BA","Cardeal da Silva",2907004,"city",56,602.474,0,1,0,0.0179,9295,"True","False"
38,"2020-09-14",102,"BA","Carinhanha",2907103,"city",100,344.614,1,3,0,0.03,29018,"True","False"
38,"2020-09-14",109,"BA","Casa Nova",2907202,"city",451,626.659,0,8,0,0.0177,71969,"True","False"
38,"2020-09-14",150,"BA","Castro Alves",2907301,"city",389,1481.11,0,5,1,0.0129,26264,"True","False"
38,"2020-09-14",94,"BA","Catolândia",2907400,"city",34,950.517,0,0,0,0.0,3577,"True","False"
38,"2020-09-14",168,"BA","Catu",2907509,"city",1482,2709.13,5,13,0,0.0088,54704,"True","False"
38,"2020-09-14",68,"BA","Caturama",2907558,"city",2,21.4385,0,0,0,0.0,9329,"True","False"
38,"2020-09-14",108,"BA","Central",2907608,"city",47,272.211,0,0,0,0.0,17266,"True","False"
38,"2020-09-14",102,"BA","Chorrochó",2907707,"city",34,304.196,2,2,0,0.0588,11177,"True","False"
38,"2020-09-14",110,"BA","Cícero Dantas",2907806,"city",518,1593.11,34,6,0,0.0116,32515,"True","False"
38,"2020-09-14",114,"BA","Cipó",2907905,"city",177,1023.12,0,0,0,0.0,17300,"True","False"
38,"2020-09-14",168,"BA","Coaraci",2908002,"city",468,2754.08,6,10,0,0.0214,16993,"True","False"
38,"2020-09-14",119,"BA","Cocos",2908101,"city",72,383.448,4,3,0,0.0417,18777,"True","False"
38,"2020-09-14",124,"BA","Conceição da Feira",2908200,"city",551,2440.1,0,7,0,0.0127,22581,"True","False"
38,"2020-09-14",123,"BA","Conceição do Almeida",2908309,"city",532,3084.59,1,6,0,0.0113,17247,"True","False"
38,"2020-09-14",160,"BA","Conceição do Coité",2908408,"city",1824,2738.25,9,7,0,0.0038,66612,"True","False"
38,"2020-09-14",177,"BA","Conceição do Jacuípe",2908507,"city",564,1701.2,0,2,0,0.0035,33153,"True","False"
38,"2020-09-14",175,"BA","Conde",2908606,"city",301,1165.0,0,7,0,0.0233,25837,"True","False"
38,"2020-09-14",119,"BA","Condeúba",2908705,"city",49,284.107,2,3,0,0.0612,17247,"True","False"
38,"2020-09-14",65,"BA","Contendas do Sincorá",2908804,"city",35,860.797,0,0,0,0.0,4066,"True","False"
38,"2020-09-14",150,"BA","Coração de Maria",2908903,"city",261,1154.61,2,3,0,0.0115,22605,"True","False"
38,"2020-09-14",97,"BA","Cordeiros",2909000,"city",30,348.27,0,1,0,0.0333,8614,"True","False"
38,"2020-09-14",81,"BA","Coribe",2909109,"city",95,669.297,7,3,0,0.0316,14194,"True","False"
38,"2020-09-14",111,"BA","Coronel João Sá",2909208,"city",194,1220.51,0,1,0,0.0052,15895,"True","False"
38,"2020-09-14",105,"BA","Correntina",2909307,"city",281,874.382,2,1,0,0.0036,32137,"True","False"
38,"2020-09-14",77,"BA","Cotegipe",2909406,"city",58,420.839,1,5,0,0.0862,13782,"True","False"
38,"2020-09-14",147,"BA","Cravolândia",2909505,"city",10,186.951,0,0,0,0.0,5349,"True","False"
38,"2020-09-14",112,"BA","Crisópolis",2909604,"city",186,881.391,0,1,0,0.0054,21103,"True","False"
38,"2020-09-14",123,"BA","Cristópolis",2909703,"city",102,733.285,0,0,0,0.0,13910,"True","False"
38,"2020-09-14",144,"BA","Cruz das Almas",2909802,"city",626,989.896,1,10,0,0.016,63239,"True","False"
38,"2020-09-14",152,"BA","Curaçá",2909901,"city",305,878.963,0,2,0,0.0066,34700,"True","False"
38,"2020-09-14",140,"BA","Dário Meira",2910008,"city",537,5014.01,0,10,1,0.0186,10710,"True","False"
38,"2020-09-14",169,"BA","Dias d'Ávila",2910057,"city",1415,1745.0,16,29,0,0.0205,81089,"True","False"
38,"2020-09-14",128,"BA","Dom Basílio",2910107,"city",42,344.291,0,0,0,0.0,12199,"True","False"
38,"2020-09-14",98,"BA","Dom Macedo Costa",2910206,"city",77,1897.49,0,0,0,0.0,4058,"True","False"
38,"2020-09-14",81,"BA","Elísio Medrado",2910305,"city",60,738.734,0,1,0,0.0167,8122,"True","False"
38,"2020-09-14",126,"BA","Encruzilhada",2910404,"city",145,852.64,1,3,0,0.0207,17006,"True","False"
38,"2020-09-14",126,"BA","Entre Rios",2910503,"city",315,753.949,4,3,0,0.0095,41780,"True","False"
38,"2020-09-14",97,"BA","Érico Cardoso",2900504,"city",3,28.2752,0,0,0,0.0,10610,"True","False"
38,"2020-09-14",115,"BA","Esplanada",2910602,"city",340,913.07,3,5,0,0.0147,37237,"True","False"
38,"2020-09-14",160,"BA","Euclides da Cunha",2910701,"city",165,272.345,-1,6,0,0.0364,60585,"True","False"
38,"2020-09-14",153,"BA","Eunápolis",2910727,"city",2860,2522.49,15,55,1,0.0192,113380,"True","False"
38,"2020-09-14",111,"BA","Fátima",2910750,"city",336,1878.14,4,0,0,0.0,17890,"True","False"
38,"2020-09-14",80,"BA","Feira da Mata",2910776,"city",24,423.654,0,0,0,0.0,5665,"True","False"
38,"2020-09-14",193,"BA","Feira de Santana",2910800,"city",12349,2008.39,32,214,5,0.0173,614872,"True","False"
38,"2020-09-14",107,"BA","Filadélfia",2910859,"city",377,2302.01,0,5,0,0.0133,16377,"True","False"
38,"2020-09-14",104,"BA","Firmino Alves",2910909,"city",73,1299.63,1,2,0,0.0274,5617,"True","False"
38,"2020-09-14",154,"BA","Floresta Azul",2911006,"city",328,3085.9,5,6,0,0.0183,10629,"True","False"
38,"2020-09-14",103,"BA","Formosa do Rio Preto",2911105,"city",195,761.987,0,3,0,0.0154,25591,"True","False"
38,"2020-09-14",164,"BA","Gandu",2911204,"city",1393,4298.98,7,20,0,0.0144,32403,"True","False"
38,"2020-09-14",44,"BA","Gavião",2911253,"city",40,896.258,0,0,0,0.0,4463,"True","False"
38,"2020-09-14",97,"BA","Gentio do Ouro",2911303,"city",182,1620.23,0,0,0,0.0,11233,"True","False"
38,"2020-09-14",114,"BA","Glória",2911402,"city",173,1136.59,4,4,0,0.0231,15221,"True","False"
38,"2020-09-14",160,"BA","Gongogi",2911501,"city",116,1627.39,0,3,0,0.0259,7128,"True","False"
38,"2020-09-14",136,"BA","Governador Mangabeira",2911600,"city",117,564.617,0,1,0,0.0085,20722,"True","False"
38,"2020-09-14",98,"BA","Guajeru",2911659,"city",5,72.0773,0,0,0,0.0,6937,"True","False"
38,"2020-09-14",150,"BA","Guanambi",2911709,"city",494,584.747,10,1,0,0.002,84481,"True","False"
38,"2020-09-14",138,"BA","Guaratinga",2911808,"city",384,1842.35,3,5,0,0.013,20843,"True","False"
38,"2020-09-14",80,"BA","Heliópolis",2911857,"city",50,383.7,0,0,0,0.0,13031,"True","False"
38,"2020-09-14",123,"BA","Iaçu",2911907,"city",187,769.389,0,8,0,0.0428,24305,"True","False"
38,"2020-09-14",80,"BA","Ibiassucê",2912004,"city",21,227.667,0,0,0,0.0,9224,"True","False"
38,"2020-09-14",146,"BA","Ibicaraí",2912103,"city",689,3176.73,3,22,0,0.0319,21689,"True","False"
38,"2020-09-14",82,"BA","Ibicoara",2912202,"city",12,61.3152,0,0,0,0.0,19571,"True","False"
38,"2020-09-14",103,"BA","Ibicuí",2912301,"city",485,2994.2,0,5,0,0.0103,16198,"True","False"
38,"2020-09-14",108,"BA","Ibipeba",2912400,"city",18,98.8414,1,0,0,0.0,18211,"True","False"
38,"2020-09-14",103,"BA","Ibipitanga",2912509,"city",15,100.658,0,0,0,0.0,14902,"True","False"
38,"2020-09-14",80,"BA","Ibiquera",2912608,"city",4,98.912,0,0,0,0.0,4044,"True","False"
38,"2020-09-14",136,"BA","Ibirapitanga",2912707,"city",627,2682.35,0,8,0,0.0128,23375,"True","False"
38,"2020-09-14",115,"BA","Ibirapuã",2912806,"city",128,1482.0,2,2,0,0.0156,8637,"True","False"
38,"2020-09-14",163,"BA","Ibirataia",2912905,"city",947,6184.69,0,19,0,0.0201,15312,"True","False"
38,"2020-09-14",123,"BA","Ibitiara",2913002,"city",11,67.3236,0,1,0,0.0909,16339,"True","False"
38,"2020-09-14",61,"BA","Ibititá",2913101,"city",182,1063.52,0,3,0,0.0165,17113,"True","False"
38,"2020-09-14",162,"BA","Ibotirama",2913200,"city",237,880.157,0,7,1,0.0295,26927,"True","False"
38,"2020-09-14",80,"BA","Ichu",2913309,"city",23,370.609,0,1,0,0.0435,6206,"True","False"
38,"2020-09-14",77,"BA","Igaporã",2913408,"city",22,140.665,0,2,0,0.0909,15640,"True","False"
38,"2020-09-14",123,"BA","Igrapiúna",2913457,"city",245,1852.41,0,7,0,0.0286,13226,"True","False"
38,"2020-09-14",110,"BA","Iguaí",2913507,"city",466,1731.31,1,13,0,0.0279,26916,"True","False"
38,"2020-09-14",174,"BA","Ilhéus",2913606,"city",6275,3865.65,-2,208,3,0.0331,162327,"True","False"
38,"2020-09-14",123,"BA","Inhambupe",2913705,"city",342,856.585,2,5,1,0.0146,39926,"True","False"
38,"2020-09-14",123,"BA","Ipecaetá",2913804,"city",93,641.955,1,3,0,0.0323,14487,"True","False"
38,"2020-09-14",172,"BA","Ipiaú",2913903,"city",1871,4078.65,1,31,0,0.0166,45873,"True","False"
38,"2020-09-14",148,"BA","Ipirá",2914000,"city",372,624.213,0,6,0,0.0161,59595,"True","False"
38,"2020-09-14",54,"BA","Ipupiara",2914109,"city",3,30.4105,0,0,0,0.0,9865,"True","False"
38,"2020-09-14",72,"BA","Irajuba",2914208,"city",44,606.061,0,1,0,0.0227,7260,"True","False"
38,"2020-09-14",102,"BA","Iramaia",2914307,"city",14,163.992,0,0,0,0.0,8537,"True","False"
38,"2020-09-14",84,"BA","Iraquara",2914406,"city",206,816.942,0,0,0,0.0,25216,"True","False"
38,"2020-09-14",127,"BA","Irará",2914505,"city",386,1329.48,0,3,0,0.0078,29034,"True","False"
38,"2020-09-14",153,"BA","Irecê",2914604,"city",1505,2062.58,3,22,2,0.0146,72967,"True","False"
38,"2020-09-14",148,"BA","Itabela",2914653,"city",717,2344.36,3,9,0,0.0126,30584,"True","False"
38,"2020-09-14",148,"BA","Itaberaba",2914703,"city",2141,3319.95,19,38,0,0.0177,64489,"True","False"
38,"2020-09-14",180,"BA","Itabuna",2914802,"city",11646,5461.89,58,232,3,0.0199,213223,"True","False"
38,"2020-09-14",143,"BA","Itacaré",2914901,"city",365,1289.93,0,9,0,0.0247,28296,"True","False"
38,"2020-09-14",116,"BA","Itaeté",2915007,"city",69,429.746,0,1,0,0.0145,16056,"True","False"
38,"2020-09-14",160,"BA","Itagi",2915106,"city",314,2542.3,2,4,0,0.0127,12351,"True","False"
38,"2020-09-14",171,"BA","Itagibá",2915205,"city",370,2537.9,0,8,0,0.0216,14579,"True","False"
38,"2020-09-14",78,"BA","Itagimirim",2915304,"city",89,1295.68,0,0,0,0.0,6869,"True","False"
38,"2020-09-14",119,"BA","Itaguaçu da Bahia",2915353,"city",29,200.984,1,0,0,0.0,14429,"True","False"
38,"2020-09-14",84,"BA","Itaju do Colônia",2915403,"city",180,2693.8,12,0,0,0.0,6682,"True","False"
38,"2020-09-14",168,"BA","Itajuípe",2915502,"city",900,4392.17,0,17,0,0.0189,20491,"True","False"
38,"2020-09-14",170,"BA","Itamaraju",2915601,"city",2053,3183.64,5,27,0,0.0132,64486,"True","False"
38,"2020-09-14",148,"BA","Itamari",2915700,"city",196,2439.33,0,2,0,0.0102,8035,"True","False"
38,"2020-09-14",93,"BA","Itambé",2915809,"city",335,1453.43,5,5,0,0.0149,23049,"True","False"
38,"2020-09-14",117,"BA","Itanagra",2915908,"city",32,496.817,0,1,0,0.0312,6441,"True","False"
38,"2020-09-14",115,"BA","Itanhém",2916005,"city",446,2298.38,2,7,0,0.0157,19405,"True","False"
38,"2020-09-14",142,"BA","Itaparica",2916104,"city",337,1516.11,0,10,0,0.0297,22228,"True","False"
38,"2020-09-14",155,"BA","Itapé",2916203,"city",410,4679.83,0,6,0,0.0146,8761,"True","False"
38,"2020-09-14",159,"BA","Itapebi",2916302,"city",175,1705.82,0,4,0,0.0229,10259,"True","False"
38,"2020-09-14",164,"BA","Itapetinga",2916401,"city",1760,2311.32,12,35,0,0.0199,76147,"True","False"
38,"2020-09-14",128,"BA","Itapicuru",2916500,"city",700,1967.62,0,2,0,0.0029,35576,"True","False"
38,"2020-09-14",129,"BA","Itapitanga",2916609,"city",190,1842.33,13,2,0,0.0105,10313,"True","False"
38,"2020-09-14",109,"BA","Itaquara",2916708,"city",78,937.613,0,1,0,0.0128,8319,"True","False"
38,"2020-09-14",163,"BA","Itarantim",2916807,"city",301,1524.28,0,7,0,0.0233,19747,"True","False"
38,"2020-09-14",160,"BA","Itatim",2916856,"city",145,1000.9,0,7,0,0.0483,14487,"True","False"
38,"2020-09-14",98,"BA","Itiruçu",2916906,"city",72,572.519,1,2,0,0.0278,12576,"True","False"
38,"2020-09-14",120,"BA","Itiúba",2917003,"city",78,216.132,3,1,0,0.0128,36089,"True","False"
38,"2020-09-14",170,"BA","Itororó",2917102,"city",589,2889.8,3,11,0,0.0187,20382,"True","False"
38,"2020-09-14",107,"BA","Ituaçu",2917201,"city",11,58.0108,1,1,0,0.0909,18962,"True","False"
38,"2020-09-14",159,"BA","Ituberá",2917300,"city",636,2223.62,1,15,0,0.0236,28602,"True","False"
38,"2020-09-14",101,"BA","Iuiú",2917334,"city",24,218.301,0,0,0,0.0,10994,"True","False"
38,"2020-09-14",115,"BA","Jaborandi",2917359,"city",55,655.933,0,0,0,0.0,8385,"True","False"
38,"2020-09-14",117,"BA","Jacaraci",2917409,"city",8,53.9011,0,0,0,0.0,14842,"True","False"
38,"2020-09-14",132,"BA","Jacobina",2917508,"city",659,818.451,5,8,0,0.0121,80518,"True","False"
38,"2020-09-14",158,"BA","Jaguaquara",2917607,"city",2275,4180.22,-1,16,1,0.007,54423,"True","False"
38,"2020-09-14",140,"BA","Jaguarari",2917706,"city",437,1301.76,3,2,0,0.0046,33570,"True","False"
38,"2020-09-14",118,"BA","Jaguaripe",2917805,"city",258,1373.22,7,3,0,0.0116,18788,"True","False"
38,"2020-09-14",105,"BA","Jandaíra",2917904,"city",256,2390.51,1,3,0,0.0117,10709,"True","False"
38,"2020-09-14",176,"BA","Jequié",2918001,"city",5469,3506.53,13,129,0,0.0236,155966,"True","False"
38,"2020-09-14",98,"BA","Jeremoabo",2918100,"city",310,766.132,0,4,0,0.0129,40463,"True","False"
38,"2020-09-14",114,"BA","Jiquiriçá",2918209,"city",66,454.014,2,0,0,0.0,14537,"True","False"
38,"2020-09-14",132,"BA","Jitaúna",2918308,"city",260,2328.5,0,10,0,0.0385,11166,"True","False"
38,"2020-09-14",110,"BA","João Dourado",2918357,"city",241,956.805,8,6,0,0.0249,25188,"True","False"
38,"2020-09-14",176,"BA","Juazeiro",2918407,"city",4783,2207.13,-4,96,0,0.0201,216707,"True","False"
38,"2020-09-14",79,"BA","Jucuruçu",2918456,"city",166,1818.98,0,0,0,0.0,9126,"True","False"
38,"2020-09-14",103,"BA","Jussara",2918506,"city",91,595.394,0,1,0,0.011,15284,"True","False"
38,"2020-09-14",137,"BA","Jussari",2918555,"city",189,3240.19,1,5,0,0.0265,5833,"True","False"
38,"2020-09-14",135,"BA","Jussiape",2918605,"city",8,129.324,0,0,0,0.0,6186,"True","False"
38,"2020-09-14",126,"BA","Lafaiete Coutinho",2918704,"city",57,1530.61,0,2,0,0.0351,3724,"True","False"
38,"2020-09-14",62,"BA","Lagoa Real",2918753,"city",3,19.151,0,0,0,0.0,15665,"True","False"
38,"2020-09-14",143,"BA","Laje",2918803,"city",218,914.43,2,5,0,0.0229,23840,"True","False"
38,"2020-09-14",115,"BA","Lajedão",2918902,"city",84,2123.89,0,0,0,0.0,3955,"True","False"
38,"2020-09-14",69,"BA","Lajedinho",2919009,"city",24,634.417,0,0,0,0.0,3783,"True","False"
38,"2020-09-14",142,"BA","Lajedo do Tabocal",2919058,"city",49,572.296,0,0,0,0.0,8562,"True","False"
38,"2020-09-14",115,"BA","Lamarão",2919108,"city",68,818.587,0,0,0,0.0,8307,"True","False"
38,"2020-09-14",118,"BA","Lapão",2919157,"city",261,958.748,13,3,0,0.0115,27223,"True","False"
38,"2020-09-14",180,"BA","Lauro de Freitas",2919207,"city",6209,3128.91,0,96,0,0.0155,198440,"True","False"
38,"2020-09-14",80,"BA","Lençóis",2919306,"city",123,1078.1,0,0,0,0.0,11409,"True","False"
38,"2020-09-14",145,"BA","Licínio de Almeida",2919405,"city",63,508.557,1,1,0,0.0159,12388,"True","False"
38,"2020-09-14",143,"BA","Livramento de Nossa Senhora",2919504,"city",109,238.345,2,1,0,0.0092,45732,"True","False"
38,"2020-09-14",157,"BA","Luís Eduardo Magalhães",2919553,"city",2656,3034.77,4,24,0,0.009,87519,"True","False"
38,"2020-09-14",91,"BA","Macajuba",2919603,"city",243,2141.35,0,0,0,0.0,11348,"True","False"
38,"2020-09-14",112,"BA","Macarani",2919702,"city",432,2303.39,0,5,0,0.0116,18755,"True","False"
38,"2020-09-14",107,"BA","Macaúbas",2919801,"city",34,68.2375,0,1,0,0.0294,49826,"True","False"
38,"2020-09-14",80,"BA","Macururé",2919900,"city",128,1635.99,0,2,0,0.0156,7824,"True","False"
38,"2020-09-14",133,"BA","Madre de Deus",2919926,"city",1063,5039.59,9,9,0,0.0085,21093,"True","False"
38,"2020-09-14",105,"BA","Maetinga",2919959,"city",37,1170.52,0,2,0,0.0541,3161,"True","False"
38,"2020-09-14",110,"BA","Maiquinique",2920007,"city",62,613.133,0,2,0,0.0323,10112,"True","False"
38,"2020-09-14",117,"BA","Mairi",2920106,"city",147,787.106,0,4,0,0.0272,18676,"True","False"
38,"2020-09-14",101,"BA","Malhada",2920205,"city",36,213.713,0,3,0,0.0833,16845,"True","False"
38,"2020-09-14",106,"BA","Malhada de Pedras",2920304,"city",113,1346.36,3,0,0,0.0,8393,"True","False"
38,"2020-09-14",128,"BA","Manoel Vitorino",2920403,"city",244,1842.9,1,7,0,0.0287,13240,"True","False"
38,"2020-09-14",108,"BA","Mansidão",2920452,"city",70,513.084,0,1,0,0.0143,13643,"True","False"
38,"2020-09-14",139,"BA","Maracás",2920502,"city",451,2164.73,1,6,0,0.0133,20834,"True","False"
38,"2020-09-14",144,"BA","Maragogipe",2920601,"city",687,1537.7,0,19,0,0.0277,44677,"True","False"
38,"2020-09-14",139,"BA","Maraú",2920700,"city",346,1682.06,1,6,0,0.0173,20570,"True","False"
